* LOGI *
0.967 - 17:14:47.688480
0.967 - 17:14:49.730834
0.967 - 17:14:51.689608
0.967 - 17:14:53.702588
0.967 - 17:14:55.693043
0.967 - 17:14:57.694093
0.967 - 17:14:59.858303
0.967 - 17:15:01.697288
0.967 - 17:15:03.700509
0.963 - 17:15:07.392957
0.963 - 17:15:07.700338
0.963 - 17:15:09.703236
0.963 - 17:15:13.206288
0.963 - 17:15:13.703556
0.963 - 17:15:15.704963
0.963 - 17:15:17.859853
0.963 - 17:15:19.707339
0.963 - 17:15:21.712210
0.963 - 17:15:23.714933
0.963 - 17:15:25.725425
0.963 - 17:15:27.725105
0.963 - 17:15:29.736476
0.963 - 17:15:40.756193
0.963 - 17:15:40.788373
0.963 - 17:15:40.787972
0.963 - 17:15:40.783137
0.963 - 17:15:40.793629
0.963 - 17:15:41.730419
0.963 - 17:15:43.733547
0.963 - 17:15:45.737887
0.963 - 17:15:47.734325
0.963 - 17:15:49.734547
0.963 - 17:15:53.284490
0.963 - 17:15:53.736428
0.963 - 17:15:55.739531
0.963 - 17:15:57.861558
0.963 - 17:15:59.742254
0.963 - 17:16:01.743917
0.968 - 17:18:35.651957
0.968 - 17:18:37.651564
0.968 - 17:18:39.731033
0.968 - 17:18:41.655614
0.968 - 17:18:43.656361
0.968 - 17:18:45.658027
0.968 - 17:18:47.669517
0.968 - 17:18:49.667461
0.968 - 17:18:51.662647
0.968 - 17:18:53.664517
0.968 - 17:18:55.663803
0.968 - 17:18:57.666072
0.967 - 17:18:59.668408
0.968 - 17:19:01.861341
0.968 - 17:19:03.673810
0.967 - 17:19:05.673640
0.967 - 17:19:07.685724
0.967 - 17:19:09.674174
0.967 - 17:19:11.675724
0.967 - 17:19:13.677361
0.967 - 17:19:15.678361
0.967 - 17:19:17.682057
0.967 - 17:19:20.865202
0.967 - 17:19:21.683385
0.967 - 17:19:23.685206
0.967 - 17:19:25.687215
0.967 - 17:19:27.688497
0.967 - 17:19:29.708216
0.967 - 17:19:31.691308
0.967 - 17:19:33.691593
0.967 - 17:19:35.695867
0.967 - 17:19:38.033667
0.967 - 17:19:39.695986
0.967 - 17:19:41.698040
0.967 - 17:19:43.707201
0.967 - 17:19:45.700090
0.967 - 17:19:47.701065
0.967 - 17:19:49.710791
0.967 - 17:19:51.709514
0.967 - 17:19:53.705933
0.967 - 17:19:55.707354
0.967 - 17:19:57.708888
0.967 - 17:19:59.710344
0.967 - 17:20:01.784192
0.967 - 17:20:03.733150
0.968 - 17:20:07.447611
0.968 - 17:20:07.733516
0.968 - 17:20:09.734627
0.968 - 17:20:11.737661
0.968 - 17:20:14.029347
0.968 - 17:20:15.749532
0.968 - 17:20:17.740736
0.968 - 17:20:19.743300
0.968 - 17:20:21.751269
0.968 - 17:20:23.747011
0.968 - 17:20:25.746632
0.968 - 17:20:27.753460
0.968 - 17:20:29.774959
0.968 - 17:20:31.765587
0.968 - 17:20:33.766785
0.968 - 17:20:35.769497
0.968 - 17:20:39.979676
0.968 - 17:20:39.978952
0.968 - 17:20:41.781802
0.968 - 17:20:43.773822
0.968 - 17:20:46.032557
0.968 - 17:20:47.789094
0.968 - 17:20:49.778551
0.968 - 17:20:51.779251
0.968 - 17:20:53.781040
0.968 - 17:20:55.780449
0.968 - 17:20:57.782895
0.968 - 17:20:59.785385
0.968 - 17:21:01.784079
0.968 - 17:21:05.515126
0.968 - 17:21:05.787620
0.968 - 17:21:09.453500
0.968 - 17:21:09.968952
0.968 - 17:21:11.789112
0.968 - 17:21:13.790046
0.968 - 17:21:15.792114
0.968 - 17:21:17.791511
0.968 - 17:21:19.794349
0.968 - 17:21:22.030989
0.968 - 17:21:23.836330
0.968 - 17:21:32.443072
0.968 - 17:21:32.444478
0.968 - 17:21:32.431030
0.968 - 17:21:32.448628
0.968 - 17:21:33.817816
0.962 - 17:25:49.863007
0.962 - 17:25:50.165328
0.962 - 17:25:52.166522
0.962 - 17:25:54.168886
0.962 - 17:25:56.169790
0.962 - 17:25:58.169852
